Source,Target,Type,Label,Weight
153332386,283225980,Undirected,,1
153332386,213703231,Undirected,,1
153332386,269704391,Undirected,,1
153332386,530831326,Undirected,,1
153332386,487384614,Undirected,,1
153332386,156276864,Undirected,,1
153332386,430303668,Undirected,,1
153332386,186654805,Undirected,,1
153332386,158270212,Undirected,,1
153332386,444865919,Undirected,,1
153332386,142251641,Undirected,,1
153332386,455738115,Undirected,,1
153332386,42856356,Undirected,,1
153332386,124669451,Undirected,,1
153332386,125566308,Undirected,,1
153332386,458124415,Undirected,,1
153332386,48877974,Undirected,,1
153332386,212426402,Undirected,,1
153332386,188891181,Undirected,,1
153332386,401913289,Undirected,,1
153332386,400683137,Undirected,,1
153332386,430520623,Undirected,,1
153332386,30704155,Undirected,,1
153332386,116771731,Undirected,,1
153332386,137688013,Undirected,,1
153332386,139526196,Undirected,,1
153332386,269348155,Undirected,,1
153332386,183164574,Undirected,,1
153332386,339753954,Undirected,,1
153332386,187758889,Undirected,,1
153332386,535787452,Undirected,,1
153332386,162446548,Undirected,,1
153332386,298437168,Undirected,,1
153332386,171724690,Undirected,,1
153332386,147328191,Undirected,,1
153332386,138292827,Undirected,,1
153332386,152556841,Undirected,,1
153332386,185589751,Undirected,,1
153332386,166338503,Undirected,,1
153332386,157634089,Undirected,,1
153332386,151021263,Undirected,,1
153332386,231975013,Undirected,,1
153332386,167596711,Undirected,,1
153332386,98950794,Undirected,,1
153332386,112774550,Undirected,,1
153332386,22089067,Undirected,,1
153332386,80030024,Undirected,,1
153332386,320349804,Undirected,,1
153332386,197394215,Undirected,,1
153332386,187203017,Undirected,,1
153332386,96392631,Undirected,,1
153332386,392557336,Undirected,,1
153332386,95028037,Undirected,,1
153332386,667451021,Undirected,,1
153332386,181032267,Undirected,,1
153332386,227785553,Undirected,,1
153332386,119253802,Undirected,,1
153332386,495293591,Undirected,,1
153332386,188084417,Undirected,,1
153332386,539512502,Undirected,,1
153332386,77914678,Undirected,,1
153332386,227439424,Undirected,,1
153332386,153870650,Undirected,,1
153332386,182022463,Undirected,,1
153332386,188163715,Undirected,,1
153332386,327817271,Undirected,,1
153332386,157246919,Undirected,,1
153332386,214698043,Undirected,,1
153332386,3392706,Undirected,,1
153332386,370971887,Undirected,,1
153332386,159654118,Undirected,,1
153332386,458045594,Undirected,,1
153332386,212775910,Undirected,,1
153332386,363339787,Undirected,,1
153332386,159312047,Undirected,,1
153332386,147885710,Undirected,,1
153332386,166302773,Undirected,,1
153332386,222773248,Undirected,,1
153332386,218531122,Undirected,,1
153332386,334985989,Undirected,,1
153332386,273044801,Undirected,,1
153332386,116173722,Undirected,,1
153332386,176027013,Undirected,,1
153332386,303588234,Undirected,,1
153332386,416010881,Undirected,,1
153332386,327954205,Undirected,,1
153332386,69784318,Undirected,,1
153332386,225062723,Undirected,,1
153332386,21265472,Undirected,,1
153332386,16213208,Undirected,,1
153332386,148647461,Undirected,,1
153332386,560845343,Undirected,,1
153332386,134101198,Undirected,,1
153332386,144718654,Undirected,,1
153332386,268966664,Undirected,,1
153332386,161274944,Undirected,,1
153332386,436853573,Undirected,,1
153332386,286454797,Undirected,,1
153332386,160792163,Undirected,,1
153332386,154022636,Undirected,,1
153332386,108215599,Undirected,,1
153332386,104507745,Undirected,,1
153332386,132605424,Undirected,,1
153332386,95923998,Undirected,,1
153332386,294633550,Undirected,,1
153332386,240755995,Undirected,,1
153332386,237978456,Undirected,,1
153332386,5814181,Undirected,,1
153332386,260516994,Undirected,,1
153332386,140609592,Undirected,,1
153332386,134154469,Undirected,,1
153332386,32669459,Undirected,,1
153332386,130499443,Undirected,,1
153332386,529448007,Undirected,,1
153332386,438029053,Undirected,,1
153332386,206088665,Undirected,,1
153332386,378976333,Undirected,,1
153332386,540142126,Undirected,,1
